Warehouse,Item Code,Description,Item Type,Mster Uom,Pack Size,Brand,Latest Expiration Date,Inv. Total,Delivered Unbilled,On-Hand,On-Hand Committed,On-Hand Unallocated,On-Hand Available,Total Inv. Cost,Average Unit Cost,Weight Uom,Inv. Total.1,Delivered Unbilled.1,On-Hand.1,On-Hand Committed.1,On-Hand Unallocated.1,On-Hand Available.1,Total Inv. Cost.1,Average Unit Cost.1,Notes,Case_Weight,Category,WH_Code,SE_LandedLb,SE_CasePrice,NE_LandedLb,NE_CasePrice,TX_LandedLb,TX_CasePrice
A R T,18766,ROAST BEEF DELI SLICED FRZ CW,6K,CS,10LB,DAN'S PRIZE,11/09/2025     ,97.0,0.0,97.0,0.0,0.0,97.0,2859.46,0.0,LB,970.0,0.0,970.0,0.0,0.0,970.0,2859.46,2.9479,https://specff.psce.pw/8by66q,10.0,Beef,A_R_T,4.220615,42.206149999999994,4.092505,40.92505,4.446475,44.46475
A R T,19228,FC DICED CANADIAN BACON,6D,CS,2/5 LB,BURKE,06/04/2025     ,124.0,0.0,124.0,0.0,0.0,124.0,1464.02,11.8066,LB,1240.0,0.0,1240.0,0.0,0.0,1240.0,1464.02,1.1807,https://specff.psce.pw/8j85sh,10.0,Pork,A_R_T,2.188335,21.88335,2.060225,20.602249999999998,2.414195,24.141949999999998
A R T,20239,IQF CHICKEN BREAST PIECES,6A,CS,8-5 LB,BRAKEBUSH,12/13/2025     ,715.0,0.0,715.0,0.0,0.0,715.0,40326.0,56.4,LB,28600.0,0.0,28600.0,0.0,0.0,28600.0,40326.0,1.41,https://specff.psce.pw/7ygm3s,,Chicken,A_R_T,2.4520299999999997,,2.3239199999999998,,2.6778899999999997,
A R T,20427,BEEF TOP ROUND C/O MED FRZ CW,6K,CS,2/8 LB,BLOCK AND BARREL,10/29/2025     ,4.0,0.0,4.0,0.0,0.0,4.0,143.54,35.885,LB,67.52,0.0,67.52,0.0,0.0,67.52,143.54,2.1259,https://specff.psce.pw/8j85qk,16.0,Beef,A_R_T,3.275315,52.40504,3.1472049999999996,50.35527999999999,3.501175,56.0188
A R T,22203,RTC BRD COCONUT CHICKEN TENDERS,6A,CS,4/2.5 LB,BELL & EVANS,12/16/2025     ,2151.0,0.0,2151.0,0.0,480.0,1671.0,22585.5,10.5,LB,21510.0,0.0,21510.0,0.0,4800.0,16710.0,22585.5,1.05,https://specff.psce.pw/8k4kuv,10.0,Chicken,A_R_T,2.03803,20.3803,1.9099199999999998,19.0992,2.2638899999999995,22.638899999999996
A R T,22377,RTC BRD CHICKEN DRUMS,6A,CS,2/5 LB,BELL & EVANS,  /  /         ,843.0,0.0,843.0,0.0,0.0,843.0,6406.8,7.6,LB,8430.0,0.0,8430.0,0.0,0.0,8430.0,6406.8,0.76,https://specff.psce.pw/8k4ldg,10.0,Chicken,A_R_T,1.7045299999999999,17.045299999999997,1.57642,15.764199999999999,1.9303899999999996,19.303899999999995
A R T,22655KF,TURKEY WHOLE 16/20 FRZ CW,9B,CS,2/PC,BUTTERBALL,  /  /         ,304.0,0.0,304.0,0.0,0.0,304.0,16593.37,0.0,LB,10705.4,0.0,10705.4,0.0,0.0,10705.4,16593.37,1.55,https://specff.psce.pw/8aacqk,,Turkey,A_R_T,2.6130299999999997,,2.48492,,2.8388899999999997,
A R T,2456,RTC BRD CHICKEN BREAST STRIP FRTR,6A,CS,6/5LB BAGS,SANDERSON,  /  /         ,1115.0,0.0,1115.0,0.0,0.0,1115.0,41702.0,37.4009,LB,33450.0,0.0,33450.0,0.0,0.0,33450.0,41702.0,1.2467,https://specff.psce.pw/8by5aj,30.0,Chicken,A_R_T,2.2642349999999998,67.92705,2.136125,64.08375,2.4900949999999997,74.70285
A R T,26077,PORK CHOP SEASONED E & P FRZ,9D,CS,10 LB,HORMEL,  /  /         ,1950.0,0.0,1950.0,0.0,0.0,1950.0,11217.18,5.7524,LB,19500.0,0.0,19500.0,0.0,0.0,19500.0,11217.18,0.5752,https://specff.psce.pw/8j85pc,10.0,Pork,A_R_T,1.49201,14.920100000000001,1.3639,13.639,1.7178699999999998,17.1787
A R T,29784,RTC CHICKEN TENDERS,6A,CS,20 LB,CHEF QUIK,  /  /         ,3166.0,0.0,3166.0,0.0,1197.0,1969.0,50773.26,16.037,LB,63320.0,0.0,63320.0,0.0,23940.0,39380.0,50773.26,0.8019,https://specff.psee.io/835r8p,20.0,Chicken,A_R_T,1.7527149999999996,35.05429999999999,1.6246049999999999,32.49209999999999,1.9785749999999998,39.57149999999999
A R T,305057,FRIES SHOE STRING 1/4 RTL 20Z FRZ,9G,CS,12/20 OZ,LYNDED FARMS,03/21/2026     ,2051.0,0.0,2051.0,0.0,108.0,1943.0,16051.74,7.8263,LB,30765.0,0.0,30765.0,0.0,1620.0,29145.0,16051.74,0.5218,https://specff.psce.pw/7sf9dh,15.0,Other,A_R_T,1.4305999999999999,21.459,1.30249,19.53735,1.6564599999999998,24.846899999999998
A R T,4210,TURKEY DRUMS SMOKED RTL FRZ CW,3B,CS,12/TRAY,STAHL MEYER,  /  /         ,323.0,0.0,323.0,0.0,20.0,303.0,5514.16,0.0,LB,8691.93,0.0,8691.93,0.0,520.0,8171.93,5514.16,0.6344,,,Turkey,A_R_T,1.5600899999999998,,1.43198,,1.7859499999999997,
A R T,4211,TURKEY DRUMS SLICED RTL FRZ SMK CW,3B,CS,12/TRAYS,STAHL MEYER,  /  /         ,491.0,0.0,491.0,0.0,20.0,471.0,8760.1,0.0,LB,13630.16,0.0,13630.16,0.0,500.0,13130.16,8760.1,0.6427,,,Turkey,A_R_T,1.569635,,1.441525,,1.795495,
A R T,4230,TURKEY WING SMOKED RTL FRZ CW,3B,CS,12/ TRAYS,STAHL MEYER,  /  /         ,360.0,0.0,360.0,0.0,40.0,320.0,6831.51,0.0,LB,10144.8,0.0,10144.8,0.0,960.0,9184.79999999999,6831.51,0.6734,,,Turkey,A_R_T,1.6049399999999998,,1.4768299999999999,,1.8308,
A R T,502001,TURKEY GROUND 93/7 RTL FRZ,3B,CS,12/1LB,JENNIE-O,10/20/2025     ,80.0,0.0,80.0,0.0,0.0,80.0,1147.05,14.3381,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://specff.psce.pw/8dp5cw,12.0,Turkey,A_R_T,,26.455174999999997,,24.917855,,29.165494999999996
A R T,5028403,FC GRILLED CHICKEN STRIPS,6A,CS,4/5 LB,CARDINAL FOODS,  /  /         ,2324.0,0.0,2324.0,0.0,0.0,2324.0,73438.4,31.6,LB,46480.0,0.0,46480.0,0.0,0.0,46480.0,73438.4,1.58,https://specff.psce.pw/89pemb,20.0,Chicken,A_R_T,2.6475299999999997,52.950599999999994,2.51942,50.388400000000004,2.87339,57.467800000000004
A R T,52461,CHICKEN WOG TRAD DELI NAE,5A,CS,10Head/cs,TYSON,07/24/2025     ,1007.0,0.0,1007.0,0.0,0.0,1007.0,27065.29,0.0,LB,50011.06,0.0,50011.06,0.0,0.0,50011.06,27065.29,0.5412,https://specff.psce.pw/7xxlhb,,Chicken,A_R_T,1.4529099999999997,,1.3248,,1.6787699999999999,
A R T,52781,CHICKEN TOPPING ROASTED FC FRZ,9A,CS,2/5 LB,HORMEL,  /  /         ,1091.0,0.0,1091.0,0.0,0.0,1091.0,12881.11,11.8067,LB,10910.0,0.0,10910.0,0.0,0.0,10910.0,12881.11,1.1807,https://specff.psce.pw/8j85mk,10.0,Chicken,A_R_T,2.188335,21.88335,2.060225,20.602249999999998,2.414195,24.141949999999998
A R T,5296449,FC SHREDDED CHICKEN,6A,CS,40 LB,CTI,  /  /         ,433.0,0.0,433.0,0.0,0.0,433.0,29434.21,67.9774,LB,17320.0,0.0,17320.0,0.0,0.0,17320.0,29434.21,1.6994,https://specff.psce.pw/8fmyxq,40.0,Chicken,A_R_T,2.7848399999999995,111.39359999999998,2.65673,106.2692,3.0106999999999995,120.42799999999998
A R T,5453,"FC HALAL DICED DARK MEAT, BIRYANI",6A,CS,30 LB,PACKER,02/14/2026     ,450.0,0.0,450.0,0.0,0.0,450.0,8100.0,18.0,LB,13500.0,0.0,13500.0,0.0,0.0,13500.0,8100.0,0.6,https://specff.psce.pw/8b3jxs,30.0,Other,A_R_T,1.52053,45.615899999999996,1.3924199999999998,41.77259999999999,1.7463899999999999,52.3917
A R T,600062,TURKEY BURGERS 93/7 RTL FRZ,3B,CS,8/1LB,JENNIE-O,11/09/2025     ,198.0,0.0,198.0,0.0,0.0,198.0,1962.71,9.9127,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://specff.psce.pw/8cxav3,8.0,Turkey,A_R_T,,18.043844999999997,,17.018964999999998,,19.850724999999997
A R T,61535,POLLOCK BATTERED 3LB RTL FRZ,3E,CS,10/3LB,FLEETWOOD,  /  /         ,1289.0,0.0,1289.0,0.0,0.0,1289.0,55915.66,43.3791,LB,38670.0,0.0,38670.0,0.0,0.0,38670.0,55915.66,1.446,https://specff.psce.pw/8cxbl6,30.0,Seafood,A_R_T,2.4934299999999996,74.8029,2.3653199999999996,70.9596,2.7192899999999995,81.57869999999998
A R T,63403,CHICKEN THIGH B GRADE BULK,9A,CS,40 LB BULK,CASE FARMS,  /  /         ,1000.0,0.0,1000.0,0.0,500.0,500.0,16050.0,16.05,LB,40000.0,0.0,40000.0,0.0,20000.0,20000.0,16050.0,0.4012,https://specff.psce.pw/7v5pg4,40.0,Chicken,A_R_T,1.29191,51.676399999999994,1.1638,46.552,1.5177699999999996,60.710799999999985
A R T,78101,RTC SPICY CHICKEN NUGGETS - RETAIL,3A,CS,2/5 LB,FLEETWOOD,  /  /         ,253.0,0.0,253.0,0.0,0.0,253.0,2965.74,11.7223,LB,2530.0,0.0,2530.0,0.0,0.0,2530.0,2965.74,1.1722,https://specff.psce.pw/7sl6nn,10.0,Chicken,A_R_T,2.1785599999999996,21.785599999999995,2.0504499999999997,20.504499999999997,2.4044199999999996,24.044199999999996
A R T,80490,IF ECONOMY WING SECTIONS,6A,CS,8-5 LB,FLEETWOOD,  /  /         ,497.0,0.0,497.0,0.0,0.0,497.0,22998.68,46.275,LB,19880.0,0.0,19880.0,0.0,0.0,19880.0,22998.68,1.1569,https://specff.psce.pw/7sl6qc,,Chicken,A_R_T,2.160965,,2.032855,,2.3868249999999995,
